"","Estimate","Std. Error","z value","Pr(>|z|)","Odds_ratio","2.5 %","97.5 %"
"(Intercept)",-0.794426273250656,0.3426532877776,-2.31845513114201,0.0204245987806953,0.451840393492562,0.230843710242739,0.884406774509184
"PDL1_CD8_Percent",-0.0100636623921425,0.0630402331993302,-0.159638724056139,0.873165672764519,0.989986806814655,0.874922254090764,1.12018396272888
"(Intercept)",-0.588253347086345,0.364057762393454,-1.61582421212212,0.106132325150339,0.555296348163871,0.272043459011936,1.13347343620786
"CTLA4_Treg_Percent",-17.0477729667675,17.0863665837211,-0.997741262499288,0.318404839070209,3.94681047160052e-08,1.12798848913876e-22,13809815.4801464
"(Intercept)",-1.27881859427128,0.539139928896207,-2.3719604609687,0.0176939840724767,0.27836596942022,0.0967607891492317,0.800816256384098
"Endo_Percent",0.0861973147849684,0.0802697759035577,1.07384521527172,0.282892060886094,1.09002138442263,0.931342155709737,1.27573589492811
"(Intercept)",-1.339128729901,0.451948133237321,-2.96301418551897,0.00304642529299374,0.262073906295823,0.108074897815371,0.635510500120805
"LAG3_Treg_CD4_Percent",0.21010016424222,0.128247939603453,1.63823422732448,0.10137284219257,1.23380163657364,0.959578475976378,1.58639081276065
"(Intercept)",-0.890948720579435,0.352183075388916,-2.52978857543214,0.0114131276847533,0.410266339939829,0.205725018347399,0.818172097101924
"TFH_CD4_Percent",0.0138635519079388,0.0308359508368884,0.449590543884061,0.653005707708496,1.01396009657846,0.954494115196266,1.07713087077755
