"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",4.67513653032598,0.808167765657937,5.78485894759723,5.68833894807027e-07
"PDL1_CD8_Percent",0.130188217069753,0.139726260986129,0.931737642952296,0.356233796767293
"(Intercept)",4.78668584906828,0.842574910470547,5.68102110516807,8.15359734321333e-07
"CTLA4_Treg_Percent",12.2779949300069,24.3576337603327,0.50407174402967,0.61656582883141
"(Intercept)",6.39327561901088,1.24326811175798,5.14231448433981,5.19079268439408e-06
"Endo_Percent",-0.271493793529964,0.195559216452097,-1.38829454553714,0.171592829008615
"(Intercept)",6.31379956095598,0.94723699836117,6.66549086646699,2.63152393878426e-08
"LAG3_Treg_CD4_Percent",-0.564807366453969,0.268952083195068,-2.10002971437972,0.0411203984989197
"(Intercept)",5.4163132934224,0.828444733322106,6.53792953900824,4.11137179204454e-08
"TFH_CD4_Percent",-0.0842345374323694,0.0773149771763944,-1.08949831596261,0.28148895421762
